"id","text"
"id","text"
"SP003","Costear la sanidad de los inmigrantes ilegales cuesta 1.100 millones de euros"
"SP013","si eres un currante español pagas 1.500 euros por el carnet de camión. Y si eres inmigrante, te lo paga la Junta de Andalucía"
"SP017","“un joven canario agredido por un inmigrante ilegal en la plaza del Hierro” en la localidad de San Fernando de Maspalomas, al sur de Gran Canaria."
"SP036","España es el único país europeo que firmará el Pacto para la Inmigración. En España casi no se habla del Pacto para la Inmigración que España firmará mañana en Marrakech, y en el que se compromete a aceptar y mantener a todos los inmigrantes ilegales que entren en el país."
"SP043","Estos son los Menas (menores no acompañados) a los que estamos manteniendo en España.Esta es la chica catalana a la que violaron.Una cámara de un comercio captó la imagen previa a la violación."
"SP048","El Ministerio del Interior en colaboración con el Ministerio de Política Territorial endurecen el control de la inmigración ilegal en España y toman nuevas medidas para la estancia ilegal en el país"
"SP054","El foco de la calle Nicolás Salmerón que es la 2 calle transversal saliendo de la calle Castilla es de un piso patera habitado por como 13 individuos inmigrantes"
"SP064","El Diputado de Podemos Serigne Mbayé pide acabar con los Reyes Magos por ser una tradición ""Racista""."
"SP067","profesionales de la educación son amordazados por MENAS"
"SP070","los bares cierran a la una y se limita el aforo. Discotecas y salas de baile cerradas hasta nuevo aviso. Pero los musulmanes en Barcelona pueden juntarse, saltándose todas las medidas, para rezar. Prioridades"
"SP005","La Cruz roja atiende solo a inmigrantes en Algeciras"
"SP052","69% de las agresiones cometidas en manada"" las cometen inmigrantes"
"SP055","la Policia acaba de detener a CUATRO inmigrantes en Sevilla por violar a 2 chicas de 15 y 16 años."
"SP065","Canarias ya está ""ocupada"" por marroquíes y mauritanos. En las islas orientales, Fuerteventura y Lanzarote, el número de moros ya es mayor que el de la población autóctona."
"SP068","cada año que pasa, los extranjeros copan más y más las ayudas al alquiler…"
"SP008","España se va a hacer cargo, a cambio de una miseria, de todos los inmigrantes ilegales de Alemania"
"SP009","Aquí van a ser alojados 100 emigrantes ilegales, okupas de nuestra nación, mientras españoles y residentes legales viven atemorizados y confinados. Esto es lo que quiere la siniestra. ¿Hay o no #MotivosParaLaMoción?"
"SP010","los embarcaderos de Nuadibú, al Norte de la República Islámica, registran un lleno histórico de pateras y cayucos ante el efecto llamada de las Islas con los asentamientos de inmigrantes en zonas turísticas de Gran Canaria"
"SP014","cuando llegan las personas migrantes a Canarias “la idea es hacerlos españoles, se les da los papeles y luego se les introduce en la Península” por un acuerdo que “tiene nuestro Gobierno con el rey de Marruecos”"
"SP015","en “Fuerteventura y Lanzarote el número de moros ya es mayor que el de la población autóctona"
"SP020","los inmigrantes ""han robado en una iglesia"
"SP023","Me he enterado que los menas ganan 4.700 eurazos al mes y creo que voy a echar las oposiciones"
"SP027","Un mena pega una paliza a un gay en Pontevedra al grito de homosexuales no"
"SP031","Rumanos, ecuatorianos y marroquíes se comen 7 de cada 10 euros de nuestra sanidad pública"
"SP040","los musulmanes demandarán a España ante Estrasburgo por las procesiones de Semana Santa: 'Es una ofensa al islam'"
"SP047","Podemos creará en España las nuevas playas para mujeres musulmanas"
"SP049","El Gobierno de Pedro Sánchez ha aprobado este miércoles en el Congreso la puesta en marcha de un procedimiento extraordinario de regularización de inmigrantes"
"SP057","Cien mil inmigrantes cobran pensiones contributivas: mil millones de euros anuales"
"20170819_CR","Los investigadores sitúan al nuevo imán de Ripoll al frente del grupo terrorista."
"20190716_CR","Un 'cortacabezas' en la patera."
"20200708_MI","Unidas Podemos propone regularizar a los 600.000 inmigrantes sin papeles que estaban en España cuando se decretó el estado de alarma."
"20200715b_CR","El TSJ de Extremadura confirma la expulsión del país de un condenado por comprar a su esposa menor por 50 euros."
"20200725_CR","Dos menores estrangulan a una mujer para robarle el móvil en un túnel de Batán: «Me dejaron inconsciente»."
"20200831_CR","Al menos cuatro detenidos por abusar de una menor y dar palizas en el parque Wifi."
"ABC20210520","Luna, la joven de Cruz Roja que conmovió al consolar a un inmigrante en Ceuta, obligada a cerrar sus redes."
"ABC20211105","Inmigrantes ilegales paralizan el aeropuerto de Palma al huir de un avión marroquí."
"AD20200719","Lo que nadie cuenta sobre lo que ha pasado con los incidentes ocurridos de inmigrantes de Albacete."
"EC20210829","La otra crisis con la que lidia Ceuta: un tercio de los contagios son de inmigrantes acogidos"
"EM20210519","La trabajadora de Cruz Roja que consoló a un inmigrante exhausto en Ceuta: ""Se me cae el puto alma al suelo"
"EM20211106","Una ""patera aérea"", una nueva e insólita manera de entrar en España de forma irregular"
"20230409_DS","Acusados de agredir sexualmente a una joven en Coín y lesionar al chico que la rescató"
"20231123_DV","Vivir en la calle da miedo. Te roban, te agreden y estás siempre con frío"
"20231004_20M","Llegada masiva de migrantes a El Hierro: la isla recibe a 1.213 personas en 48 horas"
"20231117_ED","De Dinamarca a Finlandia: el fin de la cultura de acogida de migrantes en los países nórdicos"
"20230731_EC","Expulsan a Marruecos a un joven detenido hasta 15 veces en Bilbao por delitos de lesiones, malos tratos y robos con violència"
"20230731-B_EC","Expulsan a Marruecos a un joven detenido hasta 15 veces en Bilbao por delitos de lesiones, malos tratos y robos con violencia"
