comment_id,bt_text,bt_parent_text,bt_root_text,bt_hoax
s_0,"@user recuperará la ""salud universal"" y obligará a los españoles a pagar atención médica a los inmigrantes ilegales URL",,"@user recuperará la ""salud universal"" y obligará a los españoles a pagar atención médica a los inmigrantes ilegales URL",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_1,"PSOE recuperará la ""salud universal"" y obligará a los españoles a pagar atención médica a los inmigrantes ilegales URL",,"PSOE recuperará la ""salud universal"" y obligará a los españoles a pagar atención médica a los inmigrantes ilegales URL",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_2,"Y los españoles dejarán de pagar por la asistencia sanitaria privada, pagada con el dinero de todos los españoles","PSOE recuperará la ""salud universal"" y obligará a los españoles a pagar atención médica a los inmigrantes ilegales URL","PSOE recuperará la ""salud universal"" y obligará a los españoles a pagar atención médica a los inmigrantes ilegales URL",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_3,"Una cosa les voy a decir: con el bar que se han impuesto a sí mismos, ningún profesional o empresario va a venir a la política por su cuenta, porque las disputas con el Tesoro terminamos teniendo a todos los que tienen algún tipo de ingreso",,"Una cosa les voy a decir: con el bar que se han impuesto a sí mismos, ningún profesional o empresario va a venir a la política por su cuenta, porque las disputas con el Tesoro terminamos teniendo a todos los que tienen algún tipo de ingreso",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_4,"De una persona que está a favor de subsidiar la cultura, acoger a los inmigrantes, aumentar las pensiones, la atención médica universal y gratuita, etc. No esperaría que ""rascara"" de pagar impuestos utilizando trucos ilegales.","Una cosa les voy a decir: con el bar que se han impuesto a sí mismos, ningún profesional o empresario va a venir a la política por su cuenta, porque las disputas con el Tesoro terminamos teniendo a todos los que tienen algún tipo de ingreso","Una cosa les voy a decir: con el bar que se han impuesto a sí mismos, ningún profesional o empresario va a venir a la política por su cuenta, porque las disputas con el Tesoro terminamos teniendo a todos los que tienen algún tipo de ingreso",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_5,"Así que vamos a pagar por la atención médica para los inmigrantes legales e ilegales. No sólo colapsan las emergencias, pero los inmigrantes de clase alta vienen a operar de forma gratuita. Ven gracias por arruinar el país un poco más @user URL",,"Así que vamos a pagar por la atención médica para los inmigrantes legales e ilegales. No sólo colapsan las emergencias, pero los inmigrantes de clase alta vienen a operar de forma gratuita. Ven gracias por arruinar el país un poco más @user URL",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_6,"Lo siento, pero los impuestos de 45 millones de personas no pueden mantener la salud de todos los que piensan que vienen, y no estoy hablando sólo de inmigrantes ilegales, excepto cuando no nos preocupamos porque no hay dinero para pagar pensiones.",,"Lo siento, pero los impuestos de 45 millones de personas no pueden mantener la salud de todos los que piensan que vienen, y no estoy hablando sólo de inmigrantes ilegales, excepto cuando no nos preocupamos porque no hay dinero para pagar pensiones.",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_7,"Quiero decir, ahora voy a pagar impuestos para que los inmigrantes ilegales tengan atención médica universal, pero ¿quién demonios puso a estos idiotas en la oficina del gobierno?",,"Quiero decir, ahora voy a pagar impuestos para que los inmigrantes ilegales tengan atención médica universal, pero ¿quién demonios puso a estos idiotas en la oficina del gobierno?",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_8,"Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales.",,"Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales.",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_9,"En las próximas elecciones nos quedaremos como estamos, cabrones.","Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales.","Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales.",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_10,"Tenemos que ser positivos, mejor ahora que sólo van a gobernar 2 años, que en 2020 con 4 años por delante.","Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales.","Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales.",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_11,Los imbéciles universales son lo que son.,"Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales.","Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales.",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_12,"Por supuesto, a expensas de la clase obrera tan sufrida (aman el término) que es igualmente bueno para uno roto que para uno inquieto.","Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales.","Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales.",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
s_13,¡Qué fácil hacer las cosas con el dinero de otras personas!,"Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales.","Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales.",Costear la salud de los inmigrantes ilegales cuesta 1.100 millones de euros
