comment_id,backtranslated_text
s_0,"@user recuperará la ""salud universal"" y obligará a los españoles a pagar atención médica a los inmigrantes ilegales URL"
s_1,"PSOE recuperará la ""salud universal"" y obligará a los españoles a pagar atención médica a los inmigrantes ilegales URL"
s_2,"Y los españoles dejarán de pagar por la asistencia sanitaria privada, pagada con el dinero de todos los españoles"
s_3,"Una cosa les voy a decir: con el bar que se han impuesto a sí mismos, ningún profesional o empresario va a venir a la política por su cuenta, porque las disputas con el Tesoro terminamos teniendo a todos los que tienen algún tipo de ingreso"
s_4,"De una persona que está a favor de subsidiar la cultura, acoger a los inmigrantes, aumentar las pensiones, la atención médica universal y gratuita, etc. No esperaría que ""rascara"" de pagar impuestos utilizando trucos ilegales."
s_5,"Así que vamos a pagar por la atención médica para los inmigrantes legales e ilegales. No sólo colapsan las emergencias, pero los inmigrantes de clase alta vienen a operar de forma gratuita. Ven gracias por arruinar el país un poco más @user URL"
s_6,"Lo siento, pero los impuestos de 45 millones de personas no pueden mantener la salud de todos los que piensan que vienen, y no estoy hablando sólo de inmigrantes ilegales, excepto cuando no nos preocupamos porque no hay dinero para pagar pensiones."
s_7,"Quiero decir, ahora voy a pagar impuestos para que los inmigrantes ilegales tengan atención médica universal, pero ¿quién demonios puso a estos idiotas en la oficina del gobierno?"
s_8,"Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales."
s_9,"En las próximas elecciones nos quedaremos como estamos, cabrones."
s_10,"Tenemos que ser positivos, mejor ahora que sólo van a gobernar 2 años, que en 2020 con 4 años por delante."
s_11,Los imbéciles universales son lo que son.
s_12,"Por supuesto, a expensas de la clase obrera tan sufrida (aman el término) que es igualmente bueno para uno roto que para uno inquieto."
s_13,¡Qué fácil hacer las cosas con el dinero de otras personas!
s_14,Y no hablemos de turismo quirúrgico...
s_15,"Deberíamos ir a una huelga de impuestos, es una pena que se los quiten antes de pagar o cobrar la nómina."
s_16,"Si tienes un hijo mayor de 22 años que no trabaja (porque está desempleado, no porque no quiera) y no estudia (porque no puede permitírselo), prepárate para el papeleo que tienes que hacer y que puede ir a un centro de salud. Ya verás qué risa."
s_17,¡Está claro que nos han tomado por tontos! No hay beneficios universales en ningún país europeo y son perfectamente democráticos.
s_18,"Ayer estaba en la hacienda gravando, todo español, por la tarde fui al centro de salud, español, la mitad."
s_19,Este gobierno está empezando a disgustarme mucho.
s_20,"No tengo mucho más que añadir. Este tipo lo dice maravillosamente. Bueno, sí, la curación nunca ha sido gratis, lo pagamos todo, sale de la IRPF y el IVA, no su salario. URL."
s_21,Y también la mitad de Europa viene a cuidar de forma gratuita en Salud Española.
s_22,"No puedo hacer más horas, no doy más de mí mismo, y este tweet es serio."
s_23,Eres un cáncer para España. ¡La perra es que no eres la única!
s_24,"España con los socios son un chollo para los ilegales, y los españoles para trabajar por un salario de mierda para pagarles salud y otros beneficios que se nos niega a los en casa. Luego la caja de la seguridad social en déficit. Scoundrels."
s_25,"Cien mil millones de euros al año acabo de oír que nos va a costar, aumentar más la deuda billonaria de España."
s_26,Que vengan a Andalucía...
s_27,"Es la única manera de sentirse bien, limpiar sus manos y ganar cristianos religiosos lo que muchos hay. Lo que falta es que se visten en capilares en Pascua!"
s_28,"El problema no es que puedan ir al médico, ... el problema es que no hay control de entrada o residencia. Ellos podrán saturar nuestro sistema de salud cuando en sus países no los escuchen, lo que es lo más habitual"
s_29,¡A la mierda la maldita curación universal!
s_30,Sin la menor duda que los ángeles de Sierra Morena del siglo XIX comparados con los alimañas político-sociales que desde el gobierno pretenden saquear a todos los españoles para enriquecer a los protegidos ilegales.
s_31,"Tuve que pagar por una compañía médica, porque la cita para un especialista fue de dos meses y medio. He estado en la lista durante 45 años."
s_32,"Nunca veo tus tweets cuando rescatamos a los ricos con nuestro dinero, banca, negocios, carreteras y si por ser humanos."
s_33,"Cuando la curación fue cortada y costó vidas, ninguno de ustedes la criticó, y a salvo del cáncer no somos nadie."
