source,id,comment_id,text,level1,level2,level3,level4,stereotype_a1,stereotype_a2,stereotype_a3,stereotype,stereotype_soft,implicit_a1,implicit_a2,implicit_a3,implicit,implicit_soft,english_translation
detests,d_0_01,d_0,La solución es desarrollar el pensamiento crítico y escéptico.,0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,The solution is to develop critical and skeptical thought.
detests,d_0_02,d_0,Hay que enseñar que la magia no existe.,d_0_01,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,We have to teach that magic doesn't exist.
detests,d_0_03,d_0,Que todos los avances de la humanidad siempre han sido a pesar de las religiones y nunca gracias a ellas.,d_0_02,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,That all human advances have always been despite and never through religions.
detests,d_0_04,d_0,"Enseñar en las escuelas la historia de las religiones, todas.",d_0_03,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"To teach the history of religions at schools, all."
detests,d_0_05,d_0,Desde las religiones de la edad de piedra hasta la iglesia de la cienciología.,d_0_04,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,From the religions of the age of stone to the church of cyenciology.
detests,d_0_06,d_0,Después de eso da igual lo que intenten adoctrinar los niños en casa.,d_0_05,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,After that it doesn't matter what they're trying to inoctrate their children at home.
detests,d_0_07,d_0,"Pero no es posible prohibir las religiones, por que lo único que consigues es que se vuelvan clandestinas, pero no las eliminas.",d_0_06,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"But we cannot ban religions, because all you get is for them to become clandestine but you don't eliminate them."
detests,d_1_01,d_1,¿Manipulando?.,0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,Handling?
detests,d_1_02,d_1,"Un hecho real, que no me impide NO demonizar a todos los católicos, ni a los del Real Madrid.",d_1_01,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,A real fact that doesn't stop me from demonizing all Catholics or those of Real Madrid.
detests,d_1_03,d_1,No se donde ves la manipulación.,d_1_02,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,I don't know where you see the handling.
detests,d_1_04,d_1,La realidad es obtusa con las generalizaciones,d_1_03,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,Reality is clear with generalizations
detests,d_2_01,d_2,Una procesión de semana santa potente hace que toda la ciudad tenga que adaptarse al recorrido.,0,d_143,d_51,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,A powerful holy week procession means that the whole town has to adapt to the path.
detests,d_2_02,d_2,"Lo mismo que la cabalgata de los reyes magos, conciertos, festivales de música sobre camiones...",d_2_01,d_143,d_51,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"The same as the ride of magic kings, concerts, music festivals about trucks..."
detests,d_2_03,d_2,"Hay monjas de clausura y a algunas las obligan a quedarse, como esas que fueron liberadas en Galicia.",d_2_02,d_143,d_51,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"There are closing nuns and some are forced to stay, as were those that were released at Galicia."
detests,d_3_01,d_3,"Estoy totalmente de acuerdo, el tema es que eso significa un bofetada en el hocico a Arabia/Catar y eso parece que no es lo que desean nuestros amados lideres y sobre todo sus intereses económicos.",0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"I completely agree with them, and the issue is that that means a slap in the snout to Arabia / Qatar and that seems to be what our beloved leaders and especially their economic interests wish."
detests,d_3_02,d_3,"Otra vía fundamental es cortar el flujo de financiación, que no va por los conductos que empleamos los ciudadanos, va por los ""paraísos fiscales"" y eso tampoco interesa a nuestros amados lideres.",d_3_01,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"Another fundamental way is to cut the flow of financing, that does not go through the channels we have been using by our citizens, goes through ""fiscal havens"" and that doesn't care about our beloved leaders either."
detests,d_4_01,d_4,y mira qué bien les ha salido que tienen unos 30 partidos alternativos que encuentra la manera de saltarse la ley.,0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,and look how good they have been that they have about 30 alternative parties that figure out how to get out of law.
detests,d_4_02,d_4,lo de prohibir alegorías al nazismo es un lavado de cara que ellos mismos saben que es inútil pero no podían más que implementarlo.,d_4_01,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,That's a face washing that they themselves know isn't useful but they could only implement.
detests,d_4_03,d_4,no sirve para nada,d_4_02,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,No good at all.
detests,d_5_01,d_5,"Desgraciadamente, y visto lo visto, al final vamos a tener que aplicar lo que hace los israelíes en sus fronteras.",0,0,0,20170819_CR,1,1,1,1,0.9526,1,0,1,1,0.7311,"Unfortunately, and as we have seen, we will eventually have to apply what Israelis do at their border."
detests,d_5_02,d_5,No pasan ni la más mínima.,d_5_01,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,They don't even pass the least.
detests,d_6_01,d_6,"Suenas exactamente igual que sus lideres, que nunca buscaban su beneficio, si no el de su comunidad y de toda la sociedad.",0,d_159,d_144,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"That's exactly how you sound about his leaders, who never sought his benefits, but his community and society as a whole."
detests,d_7_01,d_7,Si el imán es el inductor (directo o indirecto) cosa que casi NO dudo,0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,If the magnet is the inducer (directly or indirectly) something I barely doubt
detests,d_8_01,d_8,"sencillas sí... inteligentes, no estoy yo muy seguro",0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"simple yes... smart, I'm not quite sure"
detests,d_9_01,d_9,"Algunas no son todas, y para prevenir eso no hace falta una ""ley mordaza para la religión"", sino usar la Ley actual que prohíbe secuestrar a la gente.",0,d_2,d_51,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"Some aren't all, and to prevent that we don't have to have a ""law for religion"" but to use today's law that forbids kidnapping people."
detests,d_9_02,d_9,"Y con el islam podría ser igual, si hay ciertos elementos de su libro sagrado que contradicen las leyes españolas, que se prohíba su enseñanza.",d_9_01,d_2,d_51,20170819_CR,1,0,0,0,0.2689,0,0,0,0,0.0474,"And with Islam, if there are some elements of his holy book that contradict Spanish laws, that his teaching be prohibited."
detests,d_10_01,d_10,"Claro que sonamos igual, eso es lo que dicen para convencer a toda esa piara de imbéciles, otra cosa es que lo hagan, que durante siglos han demostrado que no, se llama política.",0,d_6,d_144,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"Of course we sound the same, that's what they say to convince all that pits of assholes, another thing's that they do that, that for centuries they have shown they haven't, that's called politics."
detests,d_10_02,d_10,"La diferencia es que yo no soy político, soy científico activo y mi labor si aporta de verdad, sin parafernalias, teatro y mentiras.",d_10_01,d_6,d_144,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"The difference is that I'm not a politician, I'm an active scientist and my work if she really contributes without paraphernalias, theater and lies."
detests,d_11_01,d_11,¿Tu crees que deberiamos tolerar alos nazis y supremacistas porque ahora no matan tanto como otros?,0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,Do you think we should tolerate the Nazis and supremacists because they don't kill as much as others now?
detests,d_11_02,d_11,Dudas por un momento que nada les gustaria mas que matar tanto o mas que DAESH?,d_11_01,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,Do you doubt for a while that anything would have been more to them than to kill as much or more than DAESH?
detests,d_11_03,d_11,No trates de hacer que unos parezcan mas buenos frente a los otros.,d_11_02,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,Don't try and make some look better at each other.
detests,d_11_04,d_11,Todos ellos son igual de peligrosos y pernicisosos.,d_11_03,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,They are all as dangerous and pernicious.
detests,d_11_05,d_11,Se nutren del odio que siembran y tratan de alcanzar poder e influencia dividiendo y enfrentando.,d_11_04,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,They are nourished by the hate they sow and seek to gain power and influence by dividing and coping.
detests,d_11_06,d_11,Son Iguales.,d_11_05,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,They're equal.
detests,d_12_01,d_12,"Pero vamos a ver, realmente, en serio, alguien se cree que el Imán va por ahí soltando gilipolleces en los sermones?",0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"But let's see, really, really, someone thinks that the Iman's going out with some bullshit at his sermons?"
detests,d_12_02,d_12,"Estos tíos lo que hacen es mirar, ver quien es más vulnerable y atacar luego en privado para llevarlos a su causa.",d_12_01,0,0,20170819_CR,1,1,1,1,0.9526,0,1,1,1,0.7311,"These dudes what they do is they look at, see who's most vulnerable and then attack them in private to get them to their cause."
detests,d_12_03,d_12,"Como con las sectas, que te empiezan con el buenrollismo, localizan a los débiles y una vez alejados del grupo atacan.",d_12_02,0,0,20170819_CR,0,1,0,0,0.2689,0,1,0,0,0.2689,"Like with sects that start with burollism, they find the weak and once far from the group they attack."
detests,d_12_04,d_12,Lo que se debería de controlar es quién manda esos imanes y los designa.,d_12_03,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,What should be monitored is who commands and appoints these magnets.
detests,d_13_01,d_13,"Esto es súper peligroso, imagina millones de personas a las que se les dice que la vida que están sufriendo es la única que hay y que tienen que resolver sus problemas por ellos mismos.",0,0,0,20170819_CR,0,1,0,0,0.2689,0,1,0,0,0.2689,That's super dangerous. He imagines million people who are told that their lives are the only ones that have to solve their problems for themselves.
detests,d_13_02,d_13,Imagina un país como la India dónde hay millones de personas en castas inferiores que no protestan aunque los trates como ratas,d_13_01,0,0,20170819_CR,1,1,1,1,0.9526,0,1,0,0,0.2689,Imagine a country as India where there are millions of people in lower castes who do not protest them while treating them as rats
detests,d_14_01,d_14,"No, creo que al radicalismo islámico se le está tolerando mucho más cuando suponen una amenaza mayor.",0,d_11,d_11,20170819_CR,1,1,1,1,0.9526,0,0,0,0,0.0474,"No, I believe that Islamic radicalism is being tolerated far more if they pose a greater threat."
detests,d_15_01,d_15,"Como si no hubieran suficientes medios digitales para lavar el cerebro y solamente una mezquita es la única causa posible ""En unos meses"".",0,d_128,d_128,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"That's as if there aren't enough digital means to wash his brain and only a mosque's the only cause that's ""in a few months."""
detests,d_15_02,d_15,Esos chicos ya lo tenían claro de antes,d_15_01,d_128,d_128,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,Those boys have been clear about that before.
detests,d_16_01,d_16,Eso no tiene que ver con el ateísmo.,0,d_155,d_155,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,That's nothing to do with atheism.
detests,d_16_02,d_16,"Tienes a una iglesia, que declara una cruzada o guerra santa contra los que ganaron las elecciones, en un ambiente de guerra civil, que esperaban.",d_16_01,d_155,d_155,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"You have a church, that declares a holy crusade or war against those who have won the elections, in an atmosphere of civil war that they have been expecting."
detests,d_17_01,d_17,"independientmente de los billetes, muchos te dirán que no es políticamente correcto",0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"independently from bills, many will tell you that it's not politically right"
detests,d_18_01,d_18,"Las mentiras que parece que se te escapan son las que te cuentas a ti mismo creyendo que tu vision es neutra e ideal, y traeria una sociedad El cientifismo tambien ha causado tragedias enormes y las buenas voluntades no estan carentes de consecuencias terribles.",0,d_10,d_144,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,The lies that seem to get out of you are those that you tell yourself believing your vision to be neutral and ideal and bring a society Science has also caused huge tragedies and good will are without bad consequences.
detests,d_18_02,d_18,Tu odio visceral no traeria nada bueno.,d_18_01,d_10,d_144,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,Your visceral hate would bring nothing good.
detests,d_18_03,d_18,"Quizas si te diese satisfacciones, pero para la mayoria de la sociedad no seria mejor.mejor si se ajustase a tu criterio inefable.",d_18_02,d_10,d_144,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"Maybe if I gave you satisfaction, but for most of society it wouldn't be better if it did suit your invalid criterion."
detests,d_19_01,d_19,Un así tuvieron que juntarse 12 iguales y planear el ataque.,0,d_15,d_128,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,That's how they had to get 12 equals and plan the attack.
detests,d_19_02,d_19,Eso no debería de ser posible con una buena vigilancia y anulación de entornos radicales aplicando medidas drásticas.,d_19_01,d_15,d_128,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,That should be impossible with good monitoring and cancellation of radical environments applying drastic measures.
detests,d_20_01,d_20,¿Tenían mucha culpa los monjes que eran fusilados?,0,d_16,d_155,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,Did the monks who were killed have much to blame?
detests,d_20_02,d_20,Porque aquí nadie es mejor que nadie.,d_20_01,d_16,d_155,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,Because nobody here's better than nobody.
detests,d_21_01,d_21,"Cierto que ahora el radicalismo islamico esta en auge, pero no por ello hay que tolerar los otros movimientos de odio.",0,d_14,d_11,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"Indeed, Islamic radicalism is currently at an upsurge but we have to tolerate other hate movements."
detests,d_21_02,d_21,"El radicalismo islamico ha de perseguirse, y por su propia naturaleza ha de hacerse desde dentro de las comunidades, apoyando a quienes lo denuncian y teniendo informantes en todos sitios.",d_21_01,d_14,d_11,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"Islamic radicalism had to be pursued and by its very nature had to be achieved from within communities, with support for those who reported and with informants everywhere."
detests,d_21_03,d_21,"Y a pesar de eso no se podra evitar que siga habiendolo, de la misma forma que no se ha podido evitar que siga habiendo asociaciones de ultra-derecha que siembran el odio por los cuatro costados.",d_21_02,d_14,d_11,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"Nevertheless, we cannot prevent them from continuing to have them, as we have been unable to avoid the continuation of ultra-right associations that sow hate for all four sides."
detests,d_21_04,d_21,No se puede erradicar.,d_21_03,d_14,d_11,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,It cannot be eradicated.
detests,d_21_05,d_21,"Solo podemos educar a la sociedad para que denuncie y no tolere ni apoye esos movimientos, sean de la bandera que sean.",d_21_04,d_14,d_11,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"We can only educate society to denounce and to do anything but tolerate and support these movements, whatever their flag."
detests,d_22_01,d_22,"Ale, lo que tú digas, no debato con dogmáticos, ve a ver a tu lider espiritual para que te diga como tienes que pensar.",0,d_18,d_144,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,"Ale, whatever you say, I don't have to discuss with dogs, go and see your spiritual leader and tell you how you have to think."
detests,d_22_02,d_22,Simple hasta la desidia.,d_22_01,d_18,d_144,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474,Simple to retirement.
