text,stereotype,baseline_pred,baseline_prob1,context_pred,context_prob1,baseline_correct,context_correct,verdict
En Huelva hay 7000 hectáreas dedicadas a la agricultura intensiva de fruto rojos principalmente. Son los famosos invernaderos de la fresa de Huelva. Una agricultura intensiva e insostenible ecológicamente que produce el 95% de la producción de fresa española.,0,0,0.0035086246207356453,0,0.17612898349761963,1,1,tie
"En el año 2000 comenzó la contratación en origen. Es una contratación colectiva desde los paíse de origen solo para el tiempo que dura la campaña. Solo pueden ser mujeres, así lo piden los empresarios con el beneplácito de la Administración Pública.",0,0,0.0005960270646028221,0,0.029170919209718704,1,1,tie
"Desde los años 90 la principal mano de obra ha sido inmigrante ante el rechazo de la población autóctona a trabajar el campo. Al principio eran marroquíes, pero la situación daba ""conflicto"" con los autóctonos y la cosa cambió",1,1,0.9975868463516235,0,0.175449401140213,1,0,baseline_wins
"En los asentamientos vive el ejército de mano de obra de reserva. Son hombres subsaharianos en su mayoría con y sin papeles, también hay menores Hay muchos, algunos perennes todo el año. Aquí una foto. Huelva S.XXI. URL",0,0,0.011153770610690117,0,0.1932935118675232,1,1,tie
Las mujeres marroquíes que habéis visto en los medios son algunas de las que han llegado en el contingente de este año para recoger la fresa. Estas mujeres viven en una situación de semi-cautiverio en las fincas de las empresas donde trabajan. Las inspecciones de trabajo no van,1,1,0.998801589012146,0,0.3809024393558502,1,0,baseline_wins
"Si muchas mujeres sufren abusos en sus puestos de trabajo imaginaos una situación de impunidad como estar en una finca inaccesible, con la libertad deambulatoria limitada, con miedo a perder el trabajo y siendo inmigrante. Yo las creo.",1,0,0.018934186547994614,0,0.39785680174827576,0,0,tie
Para saber más os dejo el enlace para descargar el informe 2017 de la Mesa de Integración sobre los asentamientos de Huelva y os vuelvo a recomendar los libros de @user La fresa Amarga y ¡Qué hace esa fresa en tu mesa! URL …,0,0,0.005273943766951561,0,0.04259653016924858,1,1,tie
"Son mujeres, son pobres, son inmigrantes. Son triplemente revolucionarias. ✊🏾",1,0,0.001122845453210175,0,0.01858498528599739,0,0,tie
Y por ello hoy han salido a gritar por el bien de la empresa las trabajadoras q piensan que es todo mentira.Y las buenas trabajadoras marroquíes piden perdón xq se sienten mal porque compañeras actúen así...Aquí ls q llevan años y años cn esta buena familia. Exclusi de esta tarde URL,0,0,0.0006702786195091903,0,0.03207340091466904,1,1,tie
PEDAZO DE HILO. Y muy necesario. Gracias por darles voz.,0,0,0.003970314282923937,0,0.024838615208864212,1,1,tie
