source,id,comment_id,text,level1,level2,level3,level4,stereotype_a1,stereotype_a2,stereotype_a3,stereotype,stereotype_soft,implicit_a1,implicit_a2,implicit_a3,implicit,implicit_soft
detests,d_0_01,d_0,La solución es desarrollar el pensamiento crítico y escéptico.,0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_0_02,d_0,Hay que enseñar que la magia no existe.,d_0_01,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_0_03,d_0,Que todos los avances de la humanidad siempre han sido a pesar de las religiones y nunca gracias a ellas.,d_0_02,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_0_04,d_0,"Enseñar en las escuelas la historia de las religiones, todas.",d_0_03,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_0_05,d_0,Desde las religiones de la edad de piedra hasta la iglesia de la cienciología.,d_0_04,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_0_06,d_0,Después de eso da igual lo que intenten adoctrinar los niños en casa.,d_0_05,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_0_07,d_0,"Pero no es posible prohibir las religiones, por que lo único que consigues es que se vuelvan clandestinas, pero no las eliminas.",d_0_06,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_1_01,d_1,¿Manipulando?.,0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_1_02,d_1,"Un hecho real, que no me impide NO demonizar a todos los católicos, ni a los del Real Madrid.",d_1_01,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_1_03,d_1,No se donde ves la manipulación.,d_1_02,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_1_04,d_1,La realidad es obtusa con las generalizaciones,d_1_03,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_2_01,d_2,Una procesión de semana santa potente hace que toda la ciudad tenga que adaptarse al recorrido.,0,d_143,d_51,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_2_02,d_2,"Lo mismo que la cabalgata de los reyes magos, conciertos, festivales de música sobre camiones...",d_2_01,d_143,d_51,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_2_03,d_2,"Hay monjas de clausura y a algunas las obligan a quedarse, como esas que fueron liberadas en Galicia.",d_2_02,d_143,d_51,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_3_01,d_3,"Estoy totalmente de acuerdo, el tema es que eso significa un bofetada en el hocico a Arabia/Catar y eso parece que no es lo que desean nuestros amados lideres y sobre todo sus intereses económicos.",0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_3_02,d_3,"Otra vía fundamental es cortar el flujo de financiación, que no va por los conductos que empleamos los ciudadanos, va por los ""paraísos fiscales"" y eso tampoco interesa a nuestros amados lideres.",d_3_01,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_4_01,d_4,y mira qué bien les ha salido que tienen unos 30 partidos alternativos que encuentra la manera de saltarse la ley.,0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_4_02,d_4,lo de prohibir alegorías al nazismo es un lavado de cara que ellos mismos saben que es inútil pero no podían más que implementarlo.,d_4_01,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_4_03,d_4,no sirve para nada,d_4_02,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_5_01,d_5,"Desgraciadamente, y visto lo visto, al final vamos a tener que aplicar lo que hace los israelíes en sus fronteras.",0,0,0,20170819_CR,1,1,1,1,0.9526,1,0,1,1,0.7311
detests,d_5_02,d_5,No pasan ni la más mínima.,d_5_01,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_6_01,d_6,"Suenas exactamente igual que sus lideres, que nunca buscaban su beneficio, si no el de su comunidad y de toda la sociedad.",0,d_159,d_144,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_7_01,d_7,Si el imán es el inductor (directo o indirecto) cosa que casi NO dudo,0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_8_01,d_8,"sencillas sí... inteligentes, no estoy yo muy seguro",0,0,0,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
detests,d_9_01,d_9,"Algunas no son todas, y para prevenir eso no hace falta una ""ley mordaza para la religión"", sino usar la Ley actual que prohíbe secuestrar a la gente.",0,d_2,d_51,20170819_CR,0,0,0,0,0.0474,0,0,0,0,0.0474
