source,id,comment_id,text,level1,level2,level3,level4,stereotype_a1,stereotype_a2,stereotype_a3,stereotype,stereotype_soft,implicit_a1,implicit_a2,implicit_a3,implicit,implicit_soft,backtranslated_text
stereohoax,s_0,s_0,"El @user recuperará la ""sanidad universal"" y obligará a los españoles a pagar la sanidad a los inmigrantes ilegales URL",0,0,s_0,SP003,1.0,1.0,1.0,1,0.9526,1.0,0.0,0.0,0.0,0.2689,"@user recuperará la ""salud universal"" y obligará a los españoles a pagar atención médica a los inmigrantes ilegales URL"
stereohoax,s_1,s_1,"El PSOE recuperará la ""sanidad universal"" y obligará a los españoles a pagar la sanidad a los inmigrantes ilegales URL",0,0,s_1,SP003,1.0,1.0,1.0,1,0.9526,1.0,0.0,0.0,0.0,0.2689,"PSOE recuperará la ""salud universal"" y obligará a los españoles a pagar atención médica a los inmigrantes ilegales URL"
stereohoax,s_2,s_2,"Y los españoles dejaremos de pagar la sanidad privada , pagada con el dinero de todos los españoles",0,s_1,s_1,SP003,0.0,0.0,0.0,0,0.0474,0.0,0.0,0.0,0.0,0.0474,"Y los españoles dejarán de pagar por la asistencia sanitaria privada, pagada con el dinero de todos los españoles"
stereohoax,s_3,s_3,"Una cosa os voy a decir: con el listón que se han autoimpuesto, no se va a arrimar a la política ningún profesional o empresario por cuenta propia, porque contenciosos con Hacienda acabamos teniendo todos los que tenemos algún tipo de ingreso",0,0,s_3,SP003,0.0,0.0,0.0,0,0.0474,0.0,0.0,0.0,0.0,0.0474,"Una cosa les voy a decir: con el bar que se han impuesto a sí mismos, ningún profesional o empresario va a venir a la política por su cuenta, porque las disputas con el Tesoro terminamos teniendo a todos los que tienen algún tipo de ingreso"
stereohoax,s_4,s_4,"De una persona que se manifiesta a favor de subvencionar la cultura, acoger inmigrantes,subir las pensiones, una sanidad universal y gratuita etc yo no esperaría que se ""escaquee"" de pagar impuestos usando artimañas ilegales.",0,s_3,s_3,SP003,0.0,0.0,0.0,0,0.0474,0.0,0.0,0.0,0.0,0.0474,"De una persona que está a favor de subsidiar la cultura, acoger a los inmigrantes, aumentar las pensiones, la atención médica universal y gratuita, etc. No esperaría que ""rascara"" de pagar impuestos utilizando trucos ilegales."
stereohoax,s_5,s_5,"Entonces le vamos a pagar la sanidad a los inmigrantes legales e ilegales. No sólo colapsan urgencias, si no que los inmigrantes de clase alta vienen a operarse gratis. Venga gracias por joder el país un poco más @user URL",0,0,s_5,SP003,1.0,1.0,1.0,1,0.9526,0.0,0.0,0.0,0.0,0.0474,"Así que vamos a pagar por la atención médica para los inmigrantes legales e ilegales. No sólo colapsan las emergencias, pero los inmigrantes de clase alta vienen a operar de forma gratuita. Ven gracias por arruinar el país un poco más @user URL"
stereohoax,s_6,s_6,"Lo siento, pero los impuestos de 45M de personas no pueden mantener la sanidad de todo el que se le ocurra venir, y no hablo sólo de inmigrantes ilegales. Menos cuando no estamos preocupando porque no hay dinero para pagar las pensiones. Luego, se preguntan por qué gana el PP... URL",0,0,s_6,SP003,1.0,1.0,1.0,1,0.9526,1.0,0.0,0.0,0.0,0.2689,"Lo siento, pero los impuestos de 45 millones de personas no pueden mantener la salud de todos los que piensan que vienen, y no estoy hablando sólo de inmigrantes ilegales, excepto cuando no nos preocupamos porque no hay dinero para pagar pensiones."
stereohoax,s_7,s_7,"Osea,  ahora voy a pagar impuestos para que los inmigrantes ilegales tengan sanidad universal. ¿Pero quien coño a puesto a estos subnormales en el cargo de gobierno?",0,0,s_7,SP003,1.0,1.0,1.0,1,0.9526,0.0,0.0,0.0,0.0,0.0474,"Quiero decir, ahora voy a pagar impuestos para que los inmigrantes ilegales tengan atención médica universal, pero ¿quién demonios puso a estos idiotas en la oficina del gobierno?"
stereohoax,s_8,s_8,"Ya es oficial: El Gobierno aprueba la sanidad pública universal, que dará sanidad gratis a los inmigrantes ilegales con el dinero de todos los españoles URL
Pues nada, a trabajar y a pagar impuestos por los ilegales. 🤷‍♂️ Las próximas elecciones ya sabemos.",0,0,s_8,SP003,1.0,1.0,1.0,1,0.9526,0.0,0.0,0.0,0.0,0.0474,"Ahora es oficial: El gobierno aprueba la salud pública universal, que dará salud gratuita a los inmigrantes ilegales con el dinero de toda la URL española Bueno, nada, para trabajar y pagar impuestos por los ilegales."
stereohoax,s_9,s_9,"En las próximas elecciones seguiremos como estamos, jodidos",0,s_8,s_8,SP003,0.0,0.0,0.0,0,0.0474,0.0,0.0,0.0,0.0,0.0474,"En las próximas elecciones nos quedaremos como estamos, cabrones."
